Άγγλος: Άγγλους,Άγγλοι,Άγγλου,Άγγλο,Άγγλων
άπορος: άπορη,άπορου,άπορο,άπορης,άπορων,άπορα,άπορες,άπορους,άποροι
άποψη: άποψης,όψη,απόψεις,απόψεων
άπρακτος: άπρακτες,άπρακτου,άπρακτων,άπρακτα,άπρακτοι,άπρακτους,άπρακτο,άπρακτης,άπρακτη
άρα: αρα
άργιλος: αργίλου,αργίλων,αργίλους,πηλός,άργιλοι,άργιλο
άργυρος: αργύρων,αργύρου,άργυροι,άργυρο,αργύρους
άρδευση: αρδεύσεις,πότισμα,αρδεύσεως,άρδευσης,αρδεύσεων
άρθρο: άρθρων,άρθρα,άρθρου
άρθρωση: αρθρώσεως,αρθρώσεις,αρθρώσεων,άρθρωσης
άριστα: κάλλιστα
άριστος: άριστου,άριστους,άριστες,άριστα,άριστης,άριστο,άριστων,άριστοι,άριστη,κάλλιστος
άρμεγμα: αρμέγματος,αρμέγματα,αρμεγμάτων
άρνηση: αρνήσεως,αρνήσεις,αρνήσεων,άρνησης
άροτρο: άροτρα,άροτρου,άροτρων
άρπα: άρπας,αρπών,άρπες
άρπαγμα: αρπαγμάτων,αρπάγματα,αρπάγματος
άρρην: άρρεν
άρρωστος: άρρωστους,άρρωστο,άρρωστης,άρρωστα,άρρωστη,άρρωστων,άρρωστου,άρρωστοι,άρρωστες
άρση: άρσης,άρσεις
άρτιος: άρτιους,άρτιοι,άρτιες,άρτιο,άρτιας,άρτιων,άρτιου,άρτια
άρτος: άρτου,ψωμί,άρτο
άρτυμα: αστυμάτων,αρτύματος,αρτύματα
άρχοντας: άρχοντα,αρχόντων,άρχοντες
άρωμα: αρώματα,αρώματος,αρωμάτων
άσβεστος: άσβεστους,άσβεστο,άσβεστων,άσβεστου,άσβεστοι
άσβηστος: άσβηστα,άσβηστη,άσβηστων,άσβηστοι,άσβηστο,άσβηστους,άσβηστης,άσβηστες,άσβηστου
άσεμνος: άσεμνη,άσεμνης,άσεμνο,άσεμνου
άσθμα: άσθμας
άσκηση: άσκησης,ασκήσεων,ασκήσεις
άσκοπος: άσκοπη,άσκοπο,άσκοπου,άσκοπης
άσμα: άσματος,ασμάτων,άσματα
άσπαστος: άσπαστοι,άσπαστου,άσπαστων,άσπαστη,άσπαστο,άσπαστους,άσπαστες,άσπαστα,άσπαστης
άσπιλος: άσπιλους,άσπιλες,άσπιλών,άσπιλο,άσπιλου,άσπιλα,άσπιλοι,άσπιλη,άσπιλης
άσπλαχνος: άσπλαχνη,άσπλαχνου,άσπλαχνο,άσπλαχνης,άσπλαχνοι,άσπλαχνων,άσπλαχνους,άσπλαχνες,άσπλαχνα
άσπρος: άσπροι,άσπρη,άσπρους,λευκός,άσπρο,άσπρες,άσπρων,άσπρης,άσπρου,άσπρα
άσσος: άσσο,άσσου,άσος
άστατος: άστατη,άστατοι,άστατες,άστατα,άστατων,μεταβλητός,άστατης,άστατου,άστατο,άστατους
άστρο: αστέρι,άστρα,άστρων,αστέρας,άστρου
άσυλο: ασύλων,άσυλα,ασύλου
άσχετος: άσχετου,άσχετοι,άσχετο,άσχετα,άσχετες,άσχετης,άσχετους,άσχετων,άσχετη
άσχημος: άσχημη,άσχημες,άσχημο,άσχημης,άσχημων,άσχημοι,άσχημα,άσχημου,άσχημους
άσωτος: άσωτα,άσωτη,άσωτου,άσωτες,άσωτων,άσωτους,άσωτης,άσωτοι,άσωτο
άτακτος: άτακτα,άταχτων,άταχτοι,άταχτους,άτακτο,άτακτη,άταχτα,άταχτες,άταχτο,άταχτη,άτακτου,άταχτης,άτακτης,άταχτου,άτακτοι,άταχτος,άτακτους,άτακτες,άτακτων
άτεχνος: άτεχνη,άτεχνοι,άτεχνων,άτεχνα,άτεχνους,άτεχνες,άτεχνου,άτεχνης,άτεχνο
άτιμος: άτιμο,άτιμων,άτιμοι,άτιμη,άτιμης,άτιμου,άτιμες,άτιμα,άτιμους
άτολμος: άτολμων,άτολμους,άτολμη,άτολμες,άτολμο,άτολμα,άτολμης,άτολμοι,άτολμου
άτομο: άτομα,ατόμου,ατόμων
άτονος: άτονους,άτονοι,άτονο,άτονης,άτονη,άτονες,άτονου,άτονων,άτονα
άτοπος: άτοπη,άτοπους,άτοπο,άτοπα,άτοπου,άτοπων,άτοπης,άτοποι,άτοπες
άτρωτος: άτρωτα,άτρωτου,άτρωτο,άτρωτες,άτρωτων,άτρωτους,άτρωτης,άτρωτη,άτρωτοι
άτσαλος: άτσαλων,ακατάστατος,άτσαλη,άτσαλους,άτσαλου,άτσαλο,άτσαλης,άτσαλα,άτσαλες,άτσαλοι
άτυπος: άτυπου,άτυποι,άτυπα,άτυπο,άτυπους,άτυπες,άτυπη,άτυπων,άτυπης
άτυχος: άτυχους,άτυχη,άτυχα,άτυχο,άτυχης,άτυχων,άτυχες,ατυχής,άτυχοι,άτυχου
άυλος: άυλους,άϋλος,άϋλης,άϋλου,άϋλη,άυλων,άυλες,άϋλων,άυλοι,άυλης,άϋλους,άυλο,άυλα,άϋλα,άυλου,άϋλοι,άυλη,άϋλες,άϋλο
άυπνος: άυπνης,άυπνες,άυπνου,άυπνο,άυπνη,άυπνους,άυπνα,άυπνοι,άυπνων
άφεση: άφεσης
άφθαστος: άφταστου,άφθαστα,άφταστος,άφταστοι,άφταστα,άφθαστο,άφταστο,άφθαστους,άφθαστων,άφθαστες,άφταστους,άφταστης,άφθαστοι,άφταστων,άφθαστης,άφθαστου,άφταστες,άφταστη,άφθαστη
άφθονος: άφθονο,άφθονης,άφθονη,άφθονου
άφιξη: άφιξης,αφίξεως,αφίξεις,αφίξεων
άφωνος: άφωνου,άφωνοι,άφωνων,άφωνη,άφωνους,άφωνο,άφωνες,άφωνης,άφωνα
άχαρος: άχαρης,άχαρα,άχαροι,άχαρων,άχαρους,ανούσιος,άχαρες,άχαρη,άνοστος,άχαρο,άχαρου
άχρηστος: άχρηστων,άχρηστο,άχρηστης,άχρηστου,άχρηστοι,άχρηστες,άχρηστους,άχρηστη
άχρωμος: άχρωμοι,άχρωμης,άχρωμο,άχρωμου,άχρωμη,άχρωμες,άχρωμα,άχρωμους,άχρωμων
άχυμος: άχυμη,άχυμα,άχυμο,άχυμοι,άχυμες,άχυμης,άχυμους,άχυμων,άχυμου
άχυρο: άχυρου,άχυρα,άχυρων
άψητος: άψητου,άψητη,άψητες,άψητους,άψητων,άψητα,άψητοι,άψητο,άψητης
άψογος: άψογου,άψογης,άψογα,άψογη,άψογο,άψογων,άψογοι,άψογους,άψογες
άψυχος: άψυχες,άψυχου,άψυχη,άψυχο,άψυχοι,άψυχα,άψυχους,άψυχων,άψυχης
έβδομος: έβδομα,έβδομου,έβδομοι,έβδομες,έβδομη,έβδομους,έβδομης,έβδομο,έβδομων
έβενος: εβένου,έβενο
έβλεπα: παραέβλεπα
έβλεπαν: παραέβλεπαν
έβλεπε: παραέβλεπε
έβλεπες: παραέβλεπες
έγγαμος: έγγαμη,έγγαμων,έγγαμες,έγγαμους,έγγαμο,έγγαμης,έγγαμοι,έγγαμα,έγγαμου
έγγραφο: εγγράφων,έγγραφα,εγγράφου
έγγραφος: έγγραφοι,έγγραφες,έγγραφο,έγγραφη,έγγραφους,έγγραφα,έγγραφων,έγγραφου,έγγραφης
έγκαιρος: έγκαιρο,έγκαιροι,έγκαιρα,έγκαιρης,έγκαιρους,έγκαιρων,έγκαιρες,έγκαιρη,έγκαιρου
έγκαυμα: εγκαύματα,εγκαυμάτων,εγκαύματος
έγκλειστος: εγκλείστους,έγκλειστης,έγκλειστη,έγκλειστων,έγκλειστοι,έγκλειστα,εγκλείστων,έγκλειστους,εγκλείστου,έγκλειστου,έγκλειστο
έγκλημα: εγκλήματος,εγκλημάτων,εγκλήματα
έγκλιση: έγκλισης,εγκλίσεις,εγκλίσεων
έγκριση: εγκρίσεως,εγκρίσεις,εγκρίσεων,έγκρισης
έγκυος: εγκύου,έγκυο
έγκυρος: έγκυρη,έγκυρης,έγκυρους,ενκύρων,έγκυρο,έγκυρες,έγκυρου,έγκυρα,έγκυροι,έγκυρων
έγνοια: έγνοιες,έγνοιας
έγραψα: ξαναέγραψα
έγχορδος: έγχορδους,έγχορδοι,έγχορδα,έγχορδων,έγχορδες,έγχορδο,έγχορδου
έγχρωμος: έγχρωμα,έγχρωμης,έγχρωμων,έγχρωμους,έγχρωμο,έγχρωμη,έγχρωμες,έγχρωμοι,έγχρωμου
έδρα: έδρες,εδρών,έδρας
έθιμο: έθιμα,εθίμου,εθίμων
έκαστος: έκαστο,έκαστης,έκαστου,έκαστη
έκβαση: εκβάσεις,εκβάσεως,εκβάσεων
έκδηλος: έκδηλων,έκδηλους,έκδηλο,έκδηλα,εκδηλη,έκδηλου,έκδηλες,έκδηλης,έκδηλοι
έκδοση: εκδόσεων,έκδοσης,εκδόσεις
έκδοτος: έκδοτου,έκδοτο,έκδοτη,έκδοτων,έκδοτης,έκδοτες,έκδοτοι,έκδοτα,έκδοτους
έκθαμβος: έκθαμβης,έκθαμβων,έκθαμβο,έκθαμβες,έκθαμβου,έκθαμβη,έκθαμβα,έκθαμβους,έκθαμβοι
έκθεμα: εκθέματα,εκθεμάτων,εκθέματος
έκθεση: εκθέσεων,έκθεσης,εκθέσεως,εκθέσεις
έκθλιψη: εκθλίψεως,εκθλίψεων,έκθλιψης,εκθλίψεις
έκκεντρο: έκκεντρων,έκκεντρα,έκκεντρου
έκκληση: έκκλησης,εκκλήσεων,εκκλήσεις
έκκριση: εκκρίσεων,έκκρισης,εκκρίσεις,εκκρίσεως
έκλειψη: εκλείψεις,έκλειψης,εκλείψεων,εκλείψεως
έκλυτος: έκλυτοι,έκλυτο,έκλυτης,έκλυτα,έκλυτες,έκλυτους,έκλυτων,έκλυτη,έκλυτου
έκπληκτος: έκπληκτης,έκπληκτους,έκπληκτη,έκπληκτες,έκπληκτου,έκπληκτο,έκπληκτων,έκπληκτοι,έκπληκτα
έκπληξη: εκπλήξεως,εκπλήξεων,εκπλήξεις,έκπληξης
έκπτωση: εκπτώσεως,έκπτωσης,εκπτώσεις,εκπτώσεων
έκρηξη: εκρήξεως,εκρήξεις,εκρήξεων,έκρηξης
έκσταση: έκστασης,εκστάσεως,εκστάσεις,εκστάσεων
έκτακτος: έκτακτων,έκτακτες,εκτάκτους,έκτακτου,έκτακτο,έκτακτους,έκτακτη,εκτάκτων,έκτακτης,έκτακτα,έκτακτοι
έκταση: εκτάσεων,εκτάσεις,έκτασης,εκτάσεως
έκτος: έκτοι,έκτες,έκτου,έκτων,έκτη,έκτους,έκτα,έκτο,έκτης
έκτρωση: έκτρωσης,εκτρώσεως,εκτρώσεις,εκτρώσεων
έκφραση: εκφράσεων,εκφράσεις,έκφρασης,εκφράσεως
έκφυλος: έκφυλα,έκφυλη,έκφυλες,έκφυλου,έκφυλοι,έκφυλων,έκφυλους,έκφυλο,έκφυλης
έκχυση: εκχύσεως,εκχύσεις,εκχύσεων,έκχυσης
έλαιο: ελαίου,ελαίων,έλαια
έλασμα: ελασμάτων,ελάσματος,ελάσματα
έλατο: ελατό,έλατου,έλατων,ελάτι,έλατα
έλεγχος: ελέγχων,έλεγχοι,ελέγχους,ελέγχου,επιθεώρηση,έλεγχο
έλευση: ελεύσεις,έλευσης,ελεύσεως,ελεύσεων
έλκηθρο: ελκήθρου,ελκήθρων,έλκηθρα
έλκω: ελκύω,έλκουμε,έλκει,έλκετε,έλκεις,έλκουν
έλλειμμα: ελλείμματος,ελλειμμάτων,ελλείμματα
έλλειψη: έλλειψης,ελλείψεων,ελλείψεως,ελλείψεις
έλξη: έλξης
έμβιος: έμβιους,έμβιου,έμβιας,έμβιες,έμβιο,έμβια,έμβιοι,έμβιων
έμβλημα: εμβλημάτων,εμβλήματος,εμβλήματα
έμβολο: έμβολα,πιστόνι,εμβόλων,εμβόλου
έμβρυο: έμβρυα,εμβρύου,εμβρύων
έμμεσος: έμμεσο,έμμεσους,έμμεσης,έμμεση,έμμεσου,έμμεσοι,έμμεσες,έμμεσα,έμμεσων
έμμισθος: έμμισθες,έμμισθης,έμμισθου,έμμισθη,έμμισθων,έμμισθα,έμμισθοι,έμμισθο,έμμισθους
έμπειρος: έμπειρες,έμπειρα,έμπειροι,έμπειρους,έμπειρης,έμπειρο,έμπειρου,έμπειρων,έμπειρη
έμπιστος: έμπιστης,έμπιστα,έμπιστους,έμπιστων,έμπιστη,έμπιστου,έμπιστες,έμπιστο,έμπιστοι
έμπλαστρο: έμπλαστρου,έμπλαστρα,μπλάστρι,έμπλαστρων
έμπνευση: εμπνεύσεις,έμπνευσης,εμπνεύσεων
έμπορος: εμπόρους,εμπόρων,έμπορο,έμποροι,εμπόρου
έμπρακτος: έμπρακτη,έμπρακτους,έμπρακτης,έμπρακτο,έμπρακτοι,έμπρακτου,έμπρακτες,έμπρακτα,έμπρακτων
έμφαση: έμφασης,εμφάσεως,εμφάσεις,εμφάσεων
έμφραγμα: εμφραγμάτων,εμφράγματα,εμφράγματος
έμφυτος: έμφυτους,έμφυτοι,έμφυτου,έμφυτες,έμφυτης,έμφυτο,έμφυτα,έμφυτη,έμφυτων
